"uni_lemma","words"
"a","un, una, unas, unos"
"a lot","mucho"
"after","después"
"again","otro/otra vez"
"airplane","avión"
"all","todo"
"already","ya"
"also","también"
"angry","enojado"
"animal","animal"
"ant","hormiga"
"apple","manzana"
"arm","brazos"
"atole","atole"
"aunt","tía"
"baa baa","bee/mee"
"baby","bebé"
"babysitter","nana"
"back (location)","atrás"
"bad","malo"
"ball","pelota"
"balloon","globo/bomba"
"banana","plátano/banana"
"bang","¡pum!"
"bathroom","baño"
"bathtub","tina"
"be","estar, ser"
"beach","playa"
"beans","frijoles"
"bear","oso"
"bed","cama"
"bedroom","recámara"
"bee","abeja"
"belly button","ombligo"
"bib","babero"
"bicycle","bicicleta"
"big","grande"
"bird","pájaro"
"bite","morder"
"blanket","cobija"
"bless you","¡salud!"
"blow","soplar"
"blue","azul"
"boat","barco"
"book","libro"
"boots","botas"
"bottle","botella/mamila"
"box","caja"
"boy","niño"
"bread","pan"
"break","romper"
"breast","chichi/pecho"
"broken","roto"
"broom","escoba"
"brother","hermano"
"brush (object)","cepillo"
"bunny","conejo"
"butterfly","mariposa"
"button","botón"
"bye","adíos/byebye"
"cake","pastel"
"can (auxiliary)","poder"
"candle","vela"
"candy","dulce"
"car","carro/coche"
"careful","cuidado"
"cat","gato"
"cereal","cereal"
"chair","silla"
"cheek","cachete"
"cheese","queso"
"chick","pollito"
"chicken (food)","pollo"
"chili","chile"
"choo choo","tutú"
"church","iglesia/templo"
"cigarette","cigarros"
"clean (description)","limpio"
"climb","subir"
"close","cerrar"
"closet","ropero/closet"
"cloth","trapo"
"cloud","nube"
"cockadoodledoo","quiquiriquí"
"coffee","café"
"cold","frío"
"comb (action)","peinar(se)"
"comb (object)","peine"
"cookie","galleta"
"couch","sofá"
"cow","vaca"
"crib","cuna"
"cry","llorar"
"cup","taza"
"cute","guapo"
"daddy","papá/papi"
"dance","bailar"
"dark","oscuro"
"day","día"
"deer","venado"
"diaper","pañal"
"different","diferente"
"dirty","sucio"
"dog","perro"
"doll","muñeca"
"donkey","burro"
"door","puerta"
"down","abajo"
"draw","dibujar"
"drawer","cajón"
"dress (object)","vestido"
"drum","tambor"
"dry (action)","secar(se)"
"duck","pato"
"ear","orejas"
"early","temprano"
"earrings","aretes"
"eat","comer(se)"
"eat breakfast","desayunar"
"eat dinner","cenar"
"egg","huevo"
"elephant","elefante"
"empty","vacío"
"eye","ojos"
"face","cara"
"fall","caer(se)"
"family","familia"
"field","campo"
"finger","dedos"
"finish","acabar(se)"
"firetruck","camión de bomberos"
"fish (animal)","pescado"
"flower","flor"
"fly (animal)","mosca"
"food","comida"
"foot","pies"
"for","para"
"fork","tenedor"
"frog","rana"
"full","lleno"
"garage","cochera/garaje"
"garden","jardín"
"giraffe","jirafa"
"girl","niña"
"give","dar"
"glass","vaso"
"glasses","lentes"
"go","ir(se)"
"goat","cabra"
"godfather","padrino"
"godmother","madrina"
"good morning","buenas día"
"good night","buenas noches"
"grandma","abuela"
"grandpa","abuelo"
"grapes","uvas"
"green","verde"
"hair","pelo"
"ham","jamón"
"hammer","martillo"
"hand","manos (body_parts)"
"hands up","manos (games_routines)"
"happy","contento"
"hard","difícil"
"hat","sombrero"
"have","tener"
"have hands","tengo manita"
"he","él (pronouns)"
"head","cabeza"
"heavy","pesado"
"help","ayudar"
"hen","gallina"
"her","ella"
"here","aquí"
"hi","hola"
"him","lo"
"hippopotamus","hipopótamo"
"his","su"
"hit","pegar(se)"
"honk honk","pipí (coche)"
"horse","caballo"
"hot","caliente"
"hot dog","salchicha"
"house","casa"
"how","cómo"
"hungry","hambre"
"hurry","apurar(se)"
"hurt (action)","doler"
"i","yo"
"ice cream","helado/nieve"
"in","en"
"inside","adentro"
"it","le"
"juice","jugo"
"jump","brincar"
"keys","llaves"
"kid's song","acerrín"
"kiss","besitos"
"kitchen","cocina"
"knee","rodilla"
"knife","cuchillo"
"lamb","borrego"
"leg","piernas"
"light","luz"
"lion","león"
"little (description)","chico, poco"
"living room","sala"
"lollipop","paleta"
"look","mirar"
"look at me","ojitos"
"man","señor"
"me","me"
"meat","carne"
"medicine","medicina"
"meow","miau"
"milk","leche"
"mine","mía, mías, mío, míos"
"mirror","espejo"
"mommy","mamá/mami"
"money","dinero"
"monkey","mono"
"moo","muu"
"moon","luna"
"more","más"
"motorcycle","moto"
"mouse","ratón"
"moustache","bigote"
"mouth","boca"
"nap","hacer la meme"
"necklace","collar"
"new","nuevo"
"night","noche"
"no","no"
"none","no hay"
"nose","nariz"
"nothing","nada"
"now","ahorita/ahora"
"of","de"
"old","viejo"
"on","encima"
"one two three","uno dos tres"
"open (action)","abrir"
"orange (food)","naranja"
"ouch","¡ay!"
"out","afuera"
"oven","horno"
"owl","búho"
"pacifier","chupón/chupete"
"paint (action)","pintar"
"pajamas","pijama"
"pants","pantalón"
"paper","papel"
"park","parque"
"party","fiesta"
"pattycake","tortillitas"
"pen/pencil","lápiz"
"penguin","pingüino"
"person","persona"
"photos","fotos"
"picture","cuadro"
"pig","puerco"
"pillow","almohada"
"plant","planta"
"plate","plato"
"play","jugar"
"please","por favor"
"pool","alberca/piscina"
"potty","bacinica"
"pretty","bonita"
"purse","bolsa"
"push","empujar"
"put","meter(se), poner(se)"
"quack quack","cuacuá"
"quesadilla","quesadilla"
"radio","radio"
"rain","lluvia"
"read","leer"
"red","rojo"
"refrigerator","refrigerador"
"rice","arroz"
"rock (object)","piedra"
"roof","techo"
"room","cuarto"
"run","correr"
"sad","triste"
"same","igual"
"say","decir"
"scared","miedo"
"school","escuela"
"scissors","tijeras"
"see","ver"
"self","se"
"shh","shh"
"shoe","zapato"
"shorts","shorts"
"show","enseñar"
"shower","regadera/ducha"
"sick","enfermo"
"sing","cantar"
"sink","lavabo"
"sister","hermana"
"sit","sentar(se)"
"skirt","falda"
"sky","cielo"
"sleep","dormir(se)"
"sleepy","sueño"
"slide (object)","resbaladilla"
"snow","nieve"
"soap","jabón"
"sock","calcetines"
"soda","soda/refresco"
"soft","suave"
"soup","sopa"
"spider","araña"
"spoon","cuchara"
"squirrel","ardilla"
"stairs","escalera"
"star","estrella"
"stop","parar(se)"
"store","tienda/mercado"
"stove","estufa"
"street","calle"
"stroller","carreola"
"sun","sol"
"sweater","suéter"
"swing (object)","columpio"
"t-shirt","playera"
"table","mesa"
"take","llevar(se), tomar(se)"
"take out","sacar"
"teacher","maestra"
"teddybear","osito"
"telephone","teléfono"
"thank you","gracias"
"that","aquel, aquella, esa, ese, eso"
"the","el (articles), la, las, los"
"them","les"
"there","ahí, alla/allí"
"these","éstas, éstos"
"they","ellas, ellos"
"thirsty","sed"
"this","ésta, éste, esto"
"those","esas, esos"
"throw","aventar, tirar"
"tickle","cosquillitas"
"tiger","tigre"
"tired","cansado"
"today","hoy"
"tomorrow","mañana"
"tongue","lengua"
"tooth","dientes"
"toothbrush","cepillo de dientes"
"tortilla","tortilla"
"touch","tocar"
"towel","toalla"
"toy (object)","juguete"
"train","tren"
"trash","basura"
"tree","árbol"
"truck","camión/troca"
"tummy","panza"
"turkey","guajolote"
"turn off","apagar"
"turn on","prender"
"turtle","tortuga"
"tv","televisión"
"tweet tweet","pío pío"
"ugly","feo"
"uncle","tío"
"underpants","calzón"
"up","arriba"
"vacuum","aspiradora"
"wait","esperar(se)"
"walk","caminar"
"wanna","querer"
"wash","lavar(se)"
"watch (object)","reloj"
"water (beverage)","agua"
"wet (action)","mojar(se)"
"what","qué"
"where (question)","dónde está"
"which (question)","cuál"
"who","quién"
"why","por qué"
"window","ventana"
"wolf","lobo"
"woman","señora"
"woof woof","guaguá"
"work (action)","trabajar"
"write","escribir"
"yellow","amarillo"
"yes","sí"
"yesterday","ayer"
"you","te, tú"
"your","tuya, tuyas, tuyo, tuyos"
"yucky","fuchi"
"yum yum","¡am!"
"zipper","cierre"
"zoo","zoológico"
